x,easting,northing,elevation
0,528267.6893,6190053.072,328.5397339
2.178176256,528269.698,6190052.229,328.4094238
4.356352512,528271.7067,6190051.387,328.1530762
6.534528768,528273.7154,6190050.544,328.1259766
8.712705023,528275.7241,6190049.702,328.035675
10.89088128,528277.7328,6190048.86,327.9629822
13.06905754,528279.7415,6190048.017,327.8589478
15.24723379,528281.7502,6190047.175,327.7702332
17.42541005,528283.7589,6190046.333,327.6748657
19.6035863,528285.7676,6190045.49,327.5510864
21.78176256,528287.7763,6190044.648,327.4601746
23.95993881,528289.785,6190043.806,327.3333435
26.13811507,528291.7937,6190042.963,327.1210022
28.31629133,528293.8024,6190042.121,326.8422241
30.49446758,528295.8111,6190041.278,326.6011658
32.67264384,528297.8198,6190040.436,326.4792175
34.85082009,528299.8285,6190039.594,326.2958679
37.02899635,528301.8372,6190038.751,326.1120911
39.20717261,528303.8459,6190037.909,325.9414978
41.38534886,528305.8546,6190037.067,325.8656311
43.56352512,528307.8633,6190036.224,325.6517639
45.74170137,528309.872,6190035.382,325.4067078
47.91987763,528311.8807,6190034.54,325.2099915
50.09805388,528313.8894,6190033.697,324.9714661
52.27623014,528315.8981,6190032.855,324.7371521
54.4544064,528317.9068,6190032.013,324.5592041
56.63258265,528319.9155,6190031.17,324.4706116
58.81075891,528321.9242,6190030.328,324.2915649
60.98893516,528323.9329,6190029.485,324.1399536
63.16711142,528325.9416,6190028.643,324.0185547
65.34528768,528327.9503,6190027.801,323.8964844
67.52346393,528329.959,6190026.958,323.774292
69.70164019,528331.9677,6190026.116,323.6549072
71.87981644,528333.9764,6190025.274,323.5704956
74.0579927,528335.9851,6190024.431,323.4350891
76.23616895,528337.9938,6190023.589,323.3127136
78.41434521,528340.0025,6190022.747,323.0674438
80.59252147,528342.0112,6190021.904,322.9145203
82.77069772,528344.0199,6190021.062,322.5617676
84.94887398,528346.0287,6190020.22,322.315979
87.12705023,528348.0374,6190019.377,322.0837402
89.30522649,528350.0461,6190018.535,321.7315979
91.48340275,528352.0548,6190017.692,321.4812317
93.661579,528354.0635,6190016.85,321.1588745
95.83975526,528356.0722,6190016.008,320.9754639
98.01793151,528358.0809,6190015.165,320.8022766
100.1961078,528360.0896,6190014.323,320.692688
102.374284,528362.0983,6190013.481,320.6026611
104.5524603,528364.107,6190012.638,320.4081726
106.7306365,528366.1157,6190011.796,320.2747498
108.9088128,528368.1244,6190010.954,320.0365295
111.086989,528370.1331,6190010.111,319.8588867
113.2651653,528372.1418,6190009.269,319.6798096
115.4433416,528374.1505,6190008.426,319.5179749
117.6215178,528376.1592,6190007.584,319.2738953
119.7996941,528378.1679,6190006.742,319.0342712
121.9778703,528380.1766,6190005.899,318.9262695
124.1560466,528382.1853,6190005.057,318.73349
126.3342228,528384.194,6190004.215,318.591095
128.5123991,528386.2027,6190003.372,318.4006348
130.6905754,528388.2114,6190002.53,318.0834045
132.8687516,528390.2201,6190001.688,317.9537964
135.0469279,528392.2288,6190000.845,317.725647
137.2251041,528394.2375,6190000.003,317.6265564
139.4032804,528396.2462,6189999.161,317.3501892
141.5814566,528398.2549,6189998.318,317.2322998
143.7596329,528400.2636,6189997.476,316.9984436
145.9378091,528402.2723,6189996.633,316.6165466
148.1159854,528404.281,6189995.791,316.3726807
150.2941617,528406.2897,6189994.949,315.984375
152.4723379,528408.2984,6189994.106,315.7933044
154.6505142,528410.3071,6189993.264,315.5036926
156.8286904,528412.3158,6189992.422,315.3228455
159.0068667,528414.3245,6189991.579,315.0715637
161.1850429,528416.3332,6189990.737,314.7252502
163.3632192,528418.3419,6189989.895,314.4795227
165.5413954,528420.3506,6189989.052,314.1025696
167.7195717,528422.3593,6189988.21,313.8363647
169.897748,528424.368,6189987.368,313.5224609
172.0759242,528426.3767,6189986.525,313.1203918
174.2541005,528428.3854,6189985.683,312.8739929
176.4322767,528430.3941,6189984.84,312.5880737
178.610453,528432.4028,6189983.998,312.4094238
180.7886292,528434.4115,6189983.156,312.1679077
182.9668055,528436.4202,6189982.313,312.0467224
185.1449817,528438.4289,6189981.471,311.9447632
187.323158,528440.4376,6189980.629,311.7659302
189.5013343,528442.4463,6189979.786,311.6530457
191.6795105,528444.455,6189978.944,311.3501587
193.8576868,528446.4637,6189978.102,311.1367493
196.035863,528448.4724,6189977.259,310.7949829
198.2140393,528450.4812,6189976.417,310.5474548
200.3922155,528452.4899,6189975.574,310.3421936
202.5703918,528454.4986,6189974.732,309.9584351
204.7485681,528456.5073,6189973.89,309.7989502
206.9267443,528458.516,6189973.047,309.5450745
209.1049206,528460.5247,6189972.205,309.3536072
211.2830968,528462.5334,6189971.363,309.2154541
213.4612731,528464.5421,6189970.52,308.8797607
215.6394493,528466.5508,6189969.678,308.7709656
217.8176256,528468.5595,6189968.836,308.5322876
219.9958018,528470.5682,6189967.993,308.3819885
222.1739781,528472.5769,6189967.151,308.0888977
224.3521544,528474.5856,6189966.309,307.9265442
226.5303306,528476.5943,6189965.466,307.7318726
228.7085069,528478.603,6189964.624,307.3717957
230.8866831,528480.6117,6189963.781,307.1980896
233.0648594,528482.6204,6189962.939,306.8378601
235.2430356,528484.6291,6189962.097,306.6748047
237.4212119,528486.6378,6189961.254,306.3379517
239.5993881,528488.6465,6189960.412,306.1582031
241.7775644,528490.6552,6189959.57,305.8883362
243.9557407,528492.6639,6189958.727,305.2985229
246.1339169,528494.6726,6189957.885,305.0137329
248.3120932,528496.6813,6189957.043,304.6439209
250.4902694,528498.69,6189956.2,304.4308472
252.6684457,528500.6987,6189955.358,304.2686462
254.8466219,528502.7074,6189954.516,303.9801941
257.0247982,528504.7161,6189953.673,303.8843689
259.2029744,528506.7248,6189952.831,303.5652466
261.3811507,528508.7335,6189951.988,303.3686218
263.559327,528510.7422,6189951.146,302.9773254
265.7375032,528512.7509,6189950.304,302.7688599
267.9156795,528514.7596,6189949.461,302.554718
270.0938557,528516.7683,6189948.619,302.2121887
272.272032,528518.777,6189947.777,302.0151978
274.4502082,528520.7857,6189946.934,301.7088928
276.6283845,528522.7944,6189946.092,301.4949341
278.8065607,528524.8031,6189945.25,301.1660767
280.984737,528526.8118,6189944.407,300.9505005
283.1629133,528528.8205,6189943.565,300.7098083
285.3410895,528530.8292,6189942.722,300.2985535
287.5192658,528532.8379,6189941.88,300.0123291
289.697442,528534.8466,6189941.038,299.4930725
291.8756183,528536.8553,6189940.195,299.2498169
294.0537945,528538.864,6189939.353,299.0410156
296.2319708,528540.8727,6189938.511,298.7038269
298.4101471,528542.8814,6189937.668,298.5457153
300.5883233,528544.8901,6189936.826,298.2554932
302.7664996,528546.8988,6189935.984,298.0712891
304.9446758,528548.9075,6189935.141,297.7395325
307.1228521,528550.9162,6189934.299,297.5052185
309.3010283,528552.9249,6189933.457,297.2476196
311.4792046,528554.9336,6189932.614,296.8027039
313.6573808,528556.9424,6189931.772,296.5426025
315.8355571,528558.9511,6189930.929,296.1177673
318.0137334,528560.9598,6189930.087,295.9016724
320.1919096,528562.9685,6189929.245,295.4983215
322.3700859,528564.9772,6189928.402,295.2861633
324.5482621,528566.9859,6189927.56,295.0692139
326.7264384,528568.9946,6189926.718,294.6200562
328.9046146,528571.0033,6189925.875,294.4100647
331.0827909,528573.012,6189925.033,293.9865723
333.2609671,528575.0207,6189924.191,293.8048401
335.4391434,528577.0294,6189923.348,293.6066895
337.6173197,528579.0381,6189922.506,293.283844
339.7954959,528581.0468,6189921.664,293.1246033
341.9736722,528583.0555,6189920.821,292.8021545
344.1518484,528585.0642,6189919.979,292.5965881
346.3300247,528587.0729,6189919.136,292.1356506
348.5082009,528589.0816,6189918.294,291.8528137
350.6863772,528591.0903,6189917.452,291.525177
352.8645534,528593.099,6189916.609,290.8710022
355.0427297,528595.1077,6189915.767,290.4577026
357.220906,528597.1164,6189914.925,289.7903442
359.3990822,528599.1251,6189914.082,289.4217224
361.5772585,528601.1338,6189913.24,288.831604
363.7554347,528603.1425,6189912.398,288.5417786
365.933611,528605.1512,6189911.555,288.2301025
368.1117872,528607.1599,6189910.713,287.9025879
370.2899635,528609.1686,6189909.87,287.8534851
372.4681398,528611.1773,6189909.028,287.2714539
374.646316,528613.186,6189908.186,286.8330383
376.8244923,528615.1947,6189907.343,286.7723999
379.0026685,528617.2034,6189906.501,286.2311401
381.1808448,528619.2121,6189905.659,285.8897705
383.359021,528621.2208,6189904.816,285.0880432
385.5371973,528623.2295,6189903.974,284.7157898
387.7153735,528625.2382,6189903.132,283.9034424
389.8935498,528627.2469,6189902.289,283.4090881
392.0717261,528629.2556,6189901.447,282.9190369
394.2499023,528631.2643,6189900.605,281.7828674
396.4280786,528633.273,6189899.762,281.0994568
398.6062548,528635.2817,6189898.92,279.6781311
400.7844311,528637.2904,6189898.077,278.6473389
402.9626073,528639.2991,6189897.235,276.974884
405.1407836,528641.3078,6189896.393,275.8398438
407.3189598,528643.3165,6189895.55,274.7612305
409.4971361,528645.3252,6189894.708,273.0248108
411.6753124,528647.3339,6189893.866,272.0690918
413.8534886,528649.3426,6189893.023,270.3700562
416.0316649,528651.3513,6189892.181,269.3676453
418.2098411,528653.36,6189891.339,268.3174438
420.3880174,528655.3687,6189890.496,266.4675598
422.5661936,528657.3774,6189889.654,265.4237366
424.7443699,528659.3861,6189888.812,263.3841248
426.9225461,528661.3949,6189887.969,262.4066467
429.1007224,528663.4036,6189887.127,260.9012451
431.2788987,528665.4123,6189886.284,260.3686829
433.4570749,528667.421,6189885.442,259.9941711
435.6352512,528669.4297,6189884.6,259.5523376
437.8134274,528671.4384,6189883.757,259.4114685
439.9916037,528673.4471,6189882.915,259.3397217
442.1697799,528675.4558,6189882.073,259.2440186
444.3479562,528677.4645,6189881.23,259.2459412
446.5261325,528679.4732,6189880.388,259.0339355
448.7043087,528681.4819,6189879.546,258.7792358
448.7043087,528681.4819,6189879.546,258.7792358
